locationId;Estacion_de_Medicion;Material_Particular;Valor;dateUtc;dateLocal;Unidad_Medida;latitude;longitude;Pais;city;isMobile;Entidad;sensorType
1327;Carvajal_Incolcar;pm10;41.6;2023-03-12T18:56:08+00:00;2023-03-12T13:56:08-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1328;Carvajal_Incolcar;pm10;41.6;2023-03-12T22:42:11+00:00;2023-03-12T17:42:11-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1329;Carvajal_Incolcar;pm10;41.8;2023-03-12T20:26:10+00:00;2023-03-12T15:26:10-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1330;Carvajal_Incolcar;pm10;41.8;2023-03-12T21:40:11+00:00;2023-03-12T16:40:11-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1331;Carvajal_Incolcar;pm10;42.1;2023-03-12T21:00:10+00:00;2023-03-12T16:00:10-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1332;Carvajal_Incolcar;pm10;42.2;2023-03-12T19:02:08+00:00;2023-03-12T14:02:08-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1333;Carvajal_Incolcar;pm10;42.4;2023-03-12T19:10:08+00:00;2023-03-12T14:10:08-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1334;Carvajal_Incolcar;pm10;42.4;2023-03-12T22:44:11+00:00;2023-03-12T17:44:11-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1335;Carvajal_Incolcar;pm10;42.5;2023-03-12T22:52:11+00:00;2023-03-12T17:52:11-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1336;Carvajal_Incolcar;pm10;42.6;2023-03-12T16:22:07+00:00;2023-03-12T11:22:07-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1337;Carvajal_Incolcar;pm10;42.7;2023-03-12T14:24:06+00:00;2023-03-12T09:24:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1338;Carvajal_Incolcar;pm10;42.7;2023-03-12T19:00:08+00:00;2023-03-12T14:00:08-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1339;Carvajal_Incolcar;pm10;42.8;2023-03-12T14:42:06+00:00;2023-03-12T09:42:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1340;Carvajal_Incolcar;pm10;42.9;2023-03-12T15:58:06+00:00;2023-03-12T10:58:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1341;Carvajal_Incolcar;pm10;42.9;2023-03-13T00:34:13+00:00;2023-03-12T19:34:13-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1342;Carvajal_Incolcar;pm10;43;2023-03-13T00:32:13+00:00;2023-03-12T19:32:13-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1343;Carvajal_Incolcar;pm10;43.2;2023-03-12T11:40:04+00:00;2023-03-12T06:40:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
